gtdb_species,notes
Mycobacterium gwanakae,Listed in in the NCBI as Mycobacterium chelonae subsp. gwanakae
Mycobacterium fortuitum,M. fortuitum is a member of the Mycobacterium fortuitum complex (doi.org/10.1128/aac.02331-18)
Mycobacterium peregrinum,M. peregrinum is a member of the Mycobacterium fortuitum complex (doi.org/10.1128/aac.02331-18)
Mycobacterium porcinum,M. porcinum is a member of the Mycobacterium fortuitum complex (doi.org/10.1128/aac.02331-18)
Mycobacterium septicum,M. septicum is a member of the Mycobacterium fortuitum complex (doi.org/10.1128/aac.02331-18)
Mycobacterium conceptionense,M. conceptionense is a member of the Mycobacterium fortuitum complex (doi.org/10.1128/aac.02331-18)
Mycobacterium boenickei,M. boenickei is a member of the Mycobacterium fortuitum complex (doi.org/10.1128/aac.02331-18)
Mycobacterium houstonense,M. houstonense is a member of the Mycobacterium fortuitum complex (doi.org/10.1128/aac.02331-18)
Mycobacterium neworleansense,M. neworleansense is a member of the Mycobacterium fortuitum complex (doi.org/10.1128/aac.02331-18)
Mycobacterium brisbanense,M. brisbanense is a member of the Mycobacterium fortuitum complex (doi.org/10.1128/aac.02331-18)
Mycobacterium farcinogenes,M. farcinogenes is a member of the Mycobacterium fortuitum complex (doi.org/10.1128/aac.02331-18)
Mycobacterium senegalense,M. senegalense is a member of the Mycobacterium fortuitum complex (doi.org/10.1128/aac.02331-18)
Mycobacterium setense,M. setense is a member of the Mycobacterium fortuitum complex (doi.org/10.1128/aac.02331-18)
Mycobacterium arupense,M. arupense is a member of the Mycobacterium terrae complex (doi.org/10.1128/CMR.00035-14)
Mycobacterium nonchromogenicum,M. nonchromogenicum is a member of the Mycobacterium terrae complex (doi.org/10.1128/CMR.00035-14)
Mycobacterium heraklionense,M. heraklionense is a member of the Mycobacterium terrae complex (doi.org/10.1128/CMR.00035-14)
Mycobacterium minnesotense,M. minnesotense is a member of the Mycobacterium terrae complex (doi.org/10.1128/CMR.00035-14)
Mycobacterium paraterrae,M. paraterrae is a member of the Mycobacterium terrae complex (doi.org/10.1128/CMR.00035-14)
Mycobacterium longobardum,M. longobardum is a member of the Mycobacterium terrae complex (doi.org/10.1128/CMR.00035-14)
Mycobacterium engbaekii,M. engbaekii is a member of the Mycobacterium terrae complex (doi.org/10.1128/CMR.00035-14)
Mycobacterium hiberniae,M. hiberniae is a member of the Mycobacterium terrae complex (doi.org/10.1128/CMR.00035-14)
Mycobacterium terrae,M. terrae is a member of the Mycobacterium terrae complex (doi.org/10.1128/CMR.00035-14)
Mycobacterium algericum,M. algericum is a member of the Mycobacterium terrae complex (doi.org/10.1128/CMR.00035-14)
Mycobacterium kumamotonense,M. kumamotonense is a member of the Mycobacterium terrae complex (doi.org/10.1128/CMR.00035-14)
Mycobacterium senuense,M. senuense is a member of the Mycobacterium terrae complex (doi.org/10.1128/CMR.00035-14)
